Puesto de trabajo,Orden de p,      Cant. Producida,       Valor Est.,     Cant. Producida,    Valor Est. Producida,     Cant. Constrastada,       Valor Est. Contrastada,merma rec.,    Valor Est. Merma,c.costo,total producido,merma no recuperada
PA615-02,13365988,302001.0,1491833.59,41391,209024.55,352866.543,1661390.97,7260.681,15095.82,ASVC-PA615,343392.0,2213.862000000023
PA615-02,13365989,184350.0,914505.05,0,0.0,214825.859,1015804.07,3897.897,8104.19,ASVC-PA615,184350.0,26577.962
PA615-02,13365990,1425690.0,7072420.38,0,0.0,1469268.778,6947437.42,30144.788,62674.6,ASVC-PA615,1425690.0,13433.98999999999
PA615-02,13365992,1887744.0,10073455.03,117984,605766.43,2109105.308,10753969.41,48983.821,112420.62,ASVC-PA615,2005728.0,54393.4870000002
PA615-02,13365997,1098726.0,5815787.47,0,0.0,1149738.776,5659037.26,28610.823,59915.01,ASVC-PA615,1098726.0,22401.95299999998
PA615-02,13366001,1632112.0,8494718.59,368700,1918987.64,2084532.182,10362918.21,47584.973,107010.96,ASVC-PA615,2000812.0,36135.20900000003
PA615-02,13366002,643996.0,3546524.63,0,0.0,711840.026,3647973.7,31901.693,90813.53,ASVC-PA615,643996.0,35942.332999999984
PA615-02,13366003,422776.0,2260934.17,0,0.0,456785.39,2271068.45,11009.086,23054.55,ASVC-PA615,422776.0,23000.304000000004
PA615-02,13366005,471936.0,2347036.84,0,0.0,563865.174,2673076.18,30180.336,95249.31,ASVC-PA615,471936.0,61748.83799999999
PA615-02,13366007,553518.0,3033721.45,0,0.0,575728.721,2935928.61,18529.055,45331.52,ASVC-PA615,553518.0,3681.6659999999683
PA615-02,13366009,840636.0,4880976.4,0,0.0,904184.138,4895777.35,37214.216,101938.68,ASVC-PA615,840636.0,26333.92200000002
PA615-02,13366010,2175330.0,11168818.59,73740,393494.34,2311475.478,11333302.92,47554.336,98871.08,ASVC-PA615,2249070.0,14851.141999999993
PA615-02,13366011,2500353.0,13342483.69,0,0.0,2574496.33,13126919.13,52867.465,109917.69,ASVC-PA615,2500353.0,21275.865000000224
PA615-02,13366012,719520.0,3839531.41,0,0.0,736104.84,3753273.45,14072.517,29258.4,ASVC-PA615,719520.0,2512.322999999975
PA615-02,13366014,255632.0,1283996.08,88488,449292.52,353608.27,1695544.59,7276.076,15127.83,ASVC-PA615,344120.0,2212.1940000000177
PA615-02,13366015,1140512.0,5726681.81,0,0.0,1172015.98,5617882.79,26609.641,55324.6,ASVC-PA615,1140512.0,4894.33899999992
PA615-02,13366019,816056.0,4143475.37,0,0.0,906442.466,4394369.62,17254.687,35874.54,ASVC-PA615,816056.0,73131.77899999998
PA615-02,13372401,459646.0,2668837.97,0,0.0,492028.303,2664126.6,11969.182,25065.12,ASVC-PA615,459646.0,20413.121000000043
PA615-02,13375208,486684.0,2539405.18,0,0.0,502860.267,2506245.51,10290.447,21395.04,ASVC-PA615,486684.0,5885.820000000007
PA615-02,13375757,176295.0,882245.41,210021,1047228.02,449434.106,2130600.79,17875.802,49915.17,ASVC-PA615,386316.0,45242.304000000004
PA615-02,13377209,81249.0,404123.59,41391,209024.55,125952.337,597176.56,2593.1,5391.37,ASVC-PA615,122640.0,719.2369999999937
PA615-03,13341919,10102372.0,51515934.77,153755,784056.71,10654945.42,51881166.81,228232.796,492826.82,ASVC-PA615,10256127.0,170585.62399999984
PA615-03,13346567,3418590.0,17178995.91,0,0.0,3530425.87,16936300.18,73653.832,155341.01,ASVC-PA615,3418590.0,38182.038000000175
PA615-03,13348650,19929.0,101705.86,0,0.0,20441.569,99564.75,421.379,876.1,ASVC-PA615,19929.0,91.18999999999869
PA615-03,13348663,4477893.0,23030968.0,0,0.0,4627941.235,22731197.84,95004.711,197526.07,ASVC-PA615,4477893.0,55043.52400000021
PA615-03,13348737,2456307.0,12454213.39,0,0.0,2565569.078,12413762.54,60517.177,138966.62,ASVC-PA615,2456307.0,48744.90100000007
